zipcode,state,totalValidRegistrations,ihpReferrals,ihpEligible,ihpAmount,FIP_disaster_count,average_project,approved_rate,pop_total,pop_white,pop_black,pop_latino,median_income,application_per_thousand,approval_per_thousand,pct_black,pct_white,pct_latino,non_white
00000,LA,11.0,10.0,6.0,19475.4,370.0,3245.9,0.5454545454545454,,,,,,,,,,,
00115,LA,1.0,1.0,1.0,500.0,35.0,500.0,1.0,,,,,,,,,,,
05508,LA,1.0,1.0,1.0,2000.0,40.0,2000.0,1.0,,,,,,,,,,,
06241,LA,1.0,1.0,1.0,533.26,63.0,533.26,1.0,6155.0,5578.0,68.0,252.0,35129.0,1.6246953696181966e-07,1.6246953696181966e-07,0.011047928513403736,0.9062550771730301,0.040942323314378554,0.09374492282696995
07764,LA,1.0,1.0,1.0,500.0,44.0,500.0,1.0,7911.0,7066.0,494.0,500.0,43185.0,1.2640626975097967e-07,1.2640626975097967e-07,0.06244469725698395,0.8931867020604222,0.06320313487548983,0.1068132979395778
10068,LA,1.0,1.0,1.0,500.0,43.0,500.0,1.0,,,,,,,,,,,
10083,LA,1.0,1.0,1.0,500.0,41.0,500.0,1.0,,,,,,,,,,,
10087,LA,1.0,1.0,1.0,500.0,48.0,500.0,1.0,,,,,,,,,,,
10427,LA,1.0,1.0,1.0,500.0,38.0,500.0,1.0,,,,,,,,,,,
10707,LA,1.0,1.0,1.0,500.0,44.0,500.0,1.0,9713.0,7462.0,303.0,1194.0,55610.0,1.0295480284155256e-07,1.0295480284155256e-07,0.031195305260990427,0.7682487388036652,0.12292803459281375,0.2317512611963348
11170,LA,1.0,1.0,1.0,8975.0,46.0,8975.0,1.0,,,,,,,,,,,
13020,LA,1.0,1.0,1.0,500.0,49.0,500.0,1.0,75.0,75.0,0.0,0.0,26818.0,1.3333333333333335e-05,1.3333333333333335e-05,0.0,1.0,0.0,0.0
13106,LA,1.0,1.0,1.0,2000.0,41.0,2000.0,1.0,,,,,,,,,,,
15854,LA,1.0,1.0,1.0,2000.0,46.0,2000.0,1.0,,,,,,,,,,,
20031,LA,1.0,1.0,1.0,7797.2,48.0,7797.2,1.0,,,,,,,,,,,
20127,LA,1.0,1.0,1.0,19978.57,35.0,19978.57,1.0,,,,,,,,,,,
20158,LA,1.0,1.0,1.0,500.0,46.0,500.0,1.0,5482.0,4875.0,72.0,64.0,51110.0,1.8241517694272164e-07,1.8241517694272164e-07,0.013133892739875957,0.8892739875957679,0.011674571324334184,0.11072601240423204
20341,LA,1.0,1.0,1.0,2000.0,49.0,2000.0,1.0,,,,,,,,,,,
22051,LA,2.0,2.0,1.0,2000.0,46.0,2000.0,0.5,,,,,,,,,,,
22422,LA,1.0,1.0,1.0,2000.0,35.0,2000.0,1.0,,,,,,,,,,,
23219,LA,1.0,1.0,1.0,4612.4,33.0,4612.4,1.0,4652.0,2365.0,1627.0,314.0,31476.0,2.1496130696474635e-07,2.1496130696474635e-07,0.3497420464316423,0.5083834909716252,0.06749785038693035,0.4916165090283749
23413,LA,1.0,1.0,1.0,5079.89,46.0,5079.89,1.0,725.0,246.0,360.0,116.0,24250.0,1.379310344827586e-06,1.379310344827586e-06,0.496551724137931,0.3393103448275862,0.16,0.6606896551724138
23547,LA,1.0,1.0,1.0,2000.0,40.0,2000.0,1.0,,,,,,,,,,,
25778,LA,1.0,1.0,1.0,2000.0,38.0,2000.0,1.0,,,,,,,,,,,
25846,LA,1.0,1.0,1.0,2000.0,40.0,2000.0,1.0,240.0,130.0,110.0,0.0,16875.0,4.166666666666667e-06,4.166666666666667e-06,0.4583333333333333,0.5416666666666666,0.0,0.4583333333333333
28507,LA,1.0,1.0,1.0,937.44,49.0,937.44,1.0,,,,,,,,,,,
30085,LA,1.0,1.0,1.0,2000.0,38.0,2000.0,1.0,,,,,,,,,,,
30152,LA,1.0,1.0,1.0,11071.89,46.0,11071.89,1.0,44115.0,29873.0,7881.0,5073.0,40010.0,2.2668026748271562e-08,2.2668026748271562e-08,0.17864671880312818,0.6771619630511164,0.11499489969398163,0.3228380369488836
30241,LA,1.0,1.0,1.0,500.0,35.0,500.0,1.0,23449.0,11241.0,10486.0,1017.0,25405.0,4.2645741822679007e-08,4.2645741822679007e-08,0.44718324875261206,0.4793807838287347,0.04337071943366455,0.5206192161712653
31903,LA,1.0,1.0,1.0,500.0,63.0,500.0,1.0,17796.0,2236.0,13850.0,1817.0,17043.0,5.619240278714318e-08,5.619240278714318e-08,0.778264778601933,0.12564621263205214,0.10210159586423916,0.8743537873679479
32459,LA,1.0,1.0,1.0,3420.33,49.0,3420.33,1.0,18160.0,16543.0,84.0,1480.0,40234.0,5.506607929515419e-08,5.506607929515419e-08,0.004625550660792952,0.9109581497797357,0.08149779735682819,0.08904185022026431
32806,LA,1.0,1.0,1.0,13002.88,46.0,13002.88,1.0,26964.0,22622.0,1562.0,5369.0,40383.0,3.708648568461652e-08,3.708648568461652e-08,0.05792909063937101,0.8389704791573951,0.19911734164070613,0.16102952084260497
33899,LA,1.0,1.0,1.0,2000.0,40.0,2000.0,1.0,,,,,,,,,,,
35318,LA,1.0,1.0,1.0,9558.0,46.0,9558.0,1.0,,,,,,,,,,,
35376,LA,1.0,1.0,1.0,2000.0,46.0,2000.0,1.0,,,,,,,,,,,
36058,LA,1.0,1.0,1.0,2000.0,35.0,2000.0,1.0,,,,,,,,,,,
36592,LA,1.0,1.0,1.0,2000.0,40.0,2000.0,1.0,,,,,,,,,,,
39556,LA,1.0,1.0,1.0,4358.0,46.0,4358.0,1.0,7703.0,7512.0,2.0,31.0,25099.0,1.2981955082435416e-07,1.2981955082435416e-07,0.0002596391016487083,0.9752044657925484,0.004024406075554978,0.024795534207451644
39571,LA,1.0,1.0,1.0,2000.0,35.0,2000.0,1.0,13709.0,10496.0,2429.0,704.0,27721.0,7.29447808009337e-08,7.29447808009337e-08,0.17718287256546794,0.7656284192866001,0.05135312568385732,0.23437158071339995
39648,LA,1.0,1.0,1.0,2000.0,45.0,2000.0,1.0,20349.0,7480.0,12357.0,287.0,18838.0,4.914246400314511e-08,4.914246400314511e-08,0.6072534276868642,0.36758563074352546,0.01410388716890265,0.6324143692564745
39758,LA,1.0,1.0,1.0,6092.0,46.0,6092.0,1.0,,,,,,,,,,,
40119,LA,1.0,1.0,1.0,1561.0,35.0,1561.0,1.0,2077.0,2044.0,0.0,22.0,27528.0,4.814636494944631e-07,4.814636494944631e-07,0.0,0.9841116995666828,0.01059220028887819,0.015888300433317286
40403,LA,1.0,1.0,1.0,800.0,45.0,800.0,1.0,24875.0,23226.0,707.0,698.0,22608.0,4.020100502512563e-08,4.020100502512563e-08,0.028422110552763818,0.9337085427135678,0.028060301507537688,0.06629145728643217
40444,LA,1.0,1.0,1.0,1391.0,45.0,1391.0,1.0,14732.0,13864.0,359.0,406.0,26916.0,6.787944610371979e-08,6.787944610371979e-08,0.024368721151235406,0.9410806407819712,0.027559055118110236,0.05891935921802878
40454,LA,2.0,2.0,1.0,500.0,45.0,500.0,0.5,,,,,,,,,,,
40460,LA,1.0,1.0,1.0,4416.67,46.0,4416.67,1.0,1458.0,1458.0,0.0,0.0,21132.0,6.858710562414265e-07,6.858710562414265e-07,0.0,1.0,0.0,0.0
40471,LA,1.0,1.0,1.0,1300.0,46.0,1300.0,1.0,,,,,,,,,,,
40721,LA,1.0,1.0,1.0,24462.49,45.0,24462.49,1.0,,,,,,,,,,,
40758,LA,1.0,1.0,1.0,4358.0,46.0,4358.0,1.0,,,,,,,,,,,
41053,LA,1.0,1.0,1.0,1780.97,45.0,1780.97,1.0,,,,,,,,,,,
44281,LA,1.0,1.0,1.0,2000.0,40.0,2000.0,1.0,32569.0,31346.0,516.0,244.0,36071.0,3.070404372255826e-08,3.070404372255826e-08,0.015843286560840063,0.9624489545273113,0.007491786668304216,0.037551045472688754
46037,LA,1.0,1.0,1.0,3318.0,45.0,3318.0,1.0,41141.0,35097.0,1823.0,1975.0,51837.0,2.4306652730852435e-08,2.4306652730852435e-08,0.04431102792834399,0.8530905908947279,0.04800563914343356,0.14690940910527212
50412,LA,1.0,1.0,1.0,2000.0,35.0,2000.0,1.0,,,,,,,,,,,
50508,LA,1.0,1.0,1.0,9000.0,41.0,9000.0,1.0,,,,,,,,,,,
52583,LA,1.0,1.0,1.0,2000.0,46.0,2000.0,1.0,371.0,339.0,0.0,0.0,31250.0,2.6954177897574127e-06,2.6954177897574127e-06,0.0,0.9137466307277629,0.0,0.0862533692722372
61552,LA,1.0,1.0,1.0,30600.0,40.0,30600.0,1.0,249.0,249.0,0.0,16.0,,4.016064257028112e-06,4.016064257028112e-06,0.0,1.0,0.0642570281124498,0.0
69055,LA,1.0,1.0,1.0,4358.0,46.0,4358.0,1.0,,,,,,,,,,,
70000,LA,6.0,5.0,5.0,23931.19,138.0,4786.237999999999,0.8333333333333334,,,,,,,,,,,
70001,LA,52768.0,46493.0,32996.0,129588614.46000002,860.0,3927.4037598496793,0.6253032140691328,38103.0,28980.0,5014.0,7124.0,34701.0,0.0013848778311419047,0.0008659685589061229,0.13159068839723906,0.760570033855602,0.1869669054930058,0.23942996614439807
70002,LA,24815.0,22035.0,16002.0,69772391.43,662.0,4360.229435695538,0.6448519040902679,20563.0,14684.0,2627.0,2730.0,38201.0,0.0012067791664640373,0.000778193843310801,0.12775373243203814,0.7140981374313087,0.1327627291737587,0.2859018625686913
70003,LA,49795.0,45176.0,31027.0,111945927.19,571.0,3608.01647565024,0.623094688221709,38068.0,30892.0,3683.0,4988.0,31894.0,0.0013080540086161604,0.0008150415046758433,0.09674792476620783,0.8114952190816433,0.13102868551013974,0.18850478091835662
70004,LA,34.0,29.0,16.0,80333.64,81.0,5020.8525,0.4705882352941176,,,,,,,,,,,
70005,LA,29309.0,26325.0,19267.0,68856947.02,547.0,3573.8281528001244,0.6573748677880514,24897.0,22555.0,289.0,3090.0,43011.0,0.001177210105635217,0.000773868337550709,0.011607824235851709,0.9059324416596377,0.12411133871550789,0.09406755834036229
70006,LA,20283.0,18350.0,13305.0,61702723.31,716.0,4637.559061255167,0.6559680520633042,15304.0,11971.0,1685.0,2661.0,32230.0,0.0013253397804495557,0.0008693805541035023,0.1101019341348667,0.7822138003136435,0.17387611082070048,0.2177861996863565
