disaster_number,GEOID,county,state
1024,40115,Ottawa ,OK
104,40000,Statewide,OK
1048,40109,Oklahoma ,OK
1058,40003,Alfalfa ,OK
1058,40005,Atoka ,OK
1058,40009,Beckham ,OK
1058,40015,Caddo ,OK
1058,40017,Canadian ,OK
1058,40019,Carter ,OK
1058,40033,Cotton ,OK
1058,40037,Creek ,OK
1058,40039,Custer ,OK
1058,40045,Ellis ,OK
1058,40051,Grady ,OK
1058,40053,Grant ,OK
1058,40057,Harmon ,OK
1058,40065,Jackson ,OK
1058,40073,Kingfisher ,OK
1058,40075,Kiowa ,OK
1058,40081,Lincoln ,OK
1058,40083,Logan ,OK
1058,40093,Major ,OK
1058,40099,Murray ,OK
1058,40105,Nowata ,OK
1058,40113,Osage ,OK
1058,40115,Ottawa ,OK
1058,40125,Pottawatomie ,OK
1058,40129,Roger Mills ,OK
1058,40133,Seminole ,OK
1058,40141,Tillman ,OK
1058,40149,Washita ,OK
1058,40153,Woodward ,OK
1066,40003,Alfalfa ,OK
1066,40011,Blaine ,OK
1066,40015,Caddo ,OK
1066,40017,Canadian ,OK
1066,40033,Cotton ,OK
1066,40039,Custer ,OK
1066,40053,Grant ,OK
1066,40055,Greer ,OK
1066,40057,Harmon ,OK
1066,40065,Jackson ,OK
1066,40071,Kay ,OK
1066,40075,Kiowa ,OK
1066,40093,Major ,OK
1066,40109,Oklahoma ,OK
1066,40141,Tillman ,OK
1066,40149,Washita ,OK
1066,40151,Woods ,OK
1272,40015,Caddo ,OK
1272,40017,Canadian ,OK
1272,40027,Cleveland ,OK
1272,40035,Craig ,OK
1272,40037,Creek ,OK
1272,40051,Grady ,OK
1272,40073,Kingfisher ,OK
1272,40077,Latimer ,OK
1272,40079,Le Flore ,OK
1272,40081,Lincoln ,OK
1272,40083,Logan ,OK
1272,40087,McClain ,OK
1272,40103,Noble ,OK
1272,40109,Oklahoma ,OK
1272,40111,Okmulgee ,OK
1272,40115,Ottawa ,OK
1272,40119,Payne ,OK
1272,40125,Pottawatomie ,OK
1272,40143,Tulsa ,OK
1349,40015,Caddo ,OK
1349,40019,Carter ,OK
1349,40031,Comanche ,OK
1349,40033,Cotton ,OK
1349,40051,Grady ,OK
1349,40065,Jackson ,OK
1349,40067,Jefferson ,OK
1349,40075,Kiowa ,OK
1349,40087,McClain ,OK
1349,40109,Oklahoma ,OK
1349,40141,Tillman ,OK
1355,40001,Adair ,OK
1355,40005,Atoka ,OK
1355,40009,Beckham ,OK
1355,40011,Blaine ,OK
1355,40013,Bryan ,OK
1355,40015,Caddo ,OK
1355,40017,Canadian ,OK
1355,40019,Carter ,OK
1355,40021,Cherokee ,OK
1355,40023,Choctaw ,OK
1355,40027,Cleveland ,OK
1355,40029,Coal ,OK
1355,40031,Comanche ,OK
1355,40033,Cotton ,OK
1355,40035,Craig ,OK
1355,40037,Creek ,OK
1355,40039,Custer ,OK
1355,40041,Delaware ,OK
1355,40047,Garfield ,OK
1355,40049,Garvin ,OK
1355,40051,Grady ,OK
1355,40055,Greer ,OK
1355,40057,Harmon ,OK
1355,40061,Haskell ,OK
1355,40063,Hughes ,OK
1355,40065,Jackson ,OK
1355,40067,Jefferson ,OK
1355,40069,Johnston ,OK
1355,40071,Kay ,OK
1355,40073,Kingfisher ,OK
1355,40075,Kiowa ,OK
1355,40077,Latimer ,OK
1355,40079,Le Flore ,OK
1355,40081,Lincoln ,OK
1355,40083,Logan ,OK
1355,40085,Love ,OK
1355,40087,McClain ,OK
1355,40089,McCurtain ,OK
1355,40091,McIntosh ,OK
1355,40095,Marshall ,OK
1355,40097,Mayes ,OK
1355,40099,Murray ,OK
1355,40101,Muskogee ,OK
