femaDeclarationString,disaster_number,state,declarationType,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,placeCode,designatedArea,declarationRequestNumber,hash,lastRefresh,id,GEOID,county,type,county_state
DR-3-LA,3,LA,DR,1953,Flood,FLOOD,0,1,1,1,1953-05-29T00:00:00.000Z,1953-05-29T00:00:00.000Z,1960-02-01T00:00:00.000Z,0,Statewide,53005,4fb19699fdbba1387ffa2263fcc4a4e37a1de6d6,2021-07-13T23:01:19.145Z,60c3b7a9a0ee349d71025777,22000,Statewide,None,"Statewide,LA"
DR-64-LA,64,LA,DR,1957,Hurricane,HURRICANE,0,1,1,1,1956-10-04T00:00:00.000Z,1956-10-04T00:00:00.000Z,1960-03-01T00:00:00.000Z,0,Statewide,56017,8bb79d31423656355770ed32806d143065e9bb60,2021-07-13T23:01:19.213Z,60c3b7aaa0ee349d71025ed2,22000,Statewide,None,"Statewide,LA"
DR-73-LA,73,LA,DR,1957,Hurricane,FLOODS & HURRICANE,0,1,1,1,1957-05-16T00:00:00.000Z,1957-05-16T00:00:00.000Z,1960-08-01T00:00:00.000Z,0,Statewide,57022,b1548a5309026d9d2eb0baa0afb5141fa7fe9aed,2021-07-13T23:01:19.244Z,60c3b7aaa0ee349d71026121,22000,Statewide,None,"Statewide,LA"
DR-84-LA,84,LA,DR,1958,Flood,FLOODS,0,1,1,1,1958-05-20T00:00:00.000Z,1958-05-20T00:00:00.000Z,1960-09-01T00:00:00.000Z,0,Statewide,58014,995e9f96c8a041089ac4e9550b587f27fcc486ec,2021-07-13T23:01:19.258Z,60c3b7aaa0ee349d71026187,22000,Statewide,None,"Statewide,LA"
DR-139-LA,139,LA,DR,1963,Toxic Substances,CHLORINE BARGE ACCIDENT,0,1,1,1,1962-11-05T00:00:00.000Z,1962-11-05T00:00:00.000Z,1963-07-12T00:00:00.000Z,0,Statewide,62024,60cc6064de86a040b477f90bbea088aa7b50b76f,2021-07-13T23:01:19.552Z,60c3b7aba0ee349d7102684a,22000,Statewide,None,"Statewide,LA"
DR-178-LA,178,LA,DR,1965,Hurricane,HURRICANE HILDA,0,1,1,1,1964-10-03T00:00:00.000Z,1964-10-03T00:00:00.000Z,1967-01-17T00:00:00.000Z,0,Statewide,64025,025ad2f128b6b169d03b40dfa2057a2004698010,2021-07-13T23:01:19.651Z,60c3b7aca0ee349d71026dd9,22000,Statewide,None,"Statewide,LA"
DR-208-LA,208,LA,DR,1965,Hurricane,HURRICANE BETSY,0,1,1,0,1965-09-10T00:00:00.000Z,1965-09-10T00:00:00.000Z,1974-03-27T00:00:00.000Z,99025,Catahoula (Parish),65034,146575feabec2809765284427b950d00581287c1,2021-07-13T23:01:20.981Z,60c3b7baa0ee349d7102cf54,22025,Catahoula ,Parish),"Catahoula,LA"
DR-208-LA,208,LA,DR,1965,Hurricane,HURRICANE BETSY,0,1,1,0,1965-09-10T00:00:00.000Z,1965-09-10T00:00:00.000Z,1974-03-27T00:00:00.000Z,99005,Ascension (Parish),65034,4c171802a859b2925d36a0ab7b4e15ec788e0471,2021-07-13T23:01:20.978Z,60c3b7baa0ee349d7102d13e,22005,Ascension ,Parish),"Ascension,LA"
DR-208-LA,208,LA,DR,1965,Hurricane,HURRICANE BETSY,0,1,1,0,1965-09-10T00:00:00.000Z,1965-09-10T00:00:00.000Z,1974-03-27T00:00:00.000Z,99007,Assumption (Parish),65034,fd3fd693888833dece7e7c469b59d2c755d66222,2021-07-13T23:01:20.978Z,60c3b7baa0ee349d7102d087,22007,Assumption ,Parish),"Assumption,LA"
DR-208-LA,208,LA,DR,1965,Hurricane,HURRICANE BETSY,0,1,1,0,1965-09-10T00:00:00.000Z,1965-09-10T00:00:00.000Z,1974-03-27T00:00:00.000Z,93440,Ward 9 (Police Jury Ward),65034,61392c48e2f5fec73978d628511eea496952ffcc,2021-07-13T23:01:20.976Z,60c3b7baa0ee349d7102d1b9,22005,Ward 9 ,Police Jury Ward),"Ward9,LA"
