GEOID,county,state,FIP_disaster_count
22000,ApacheChoctaw,LA,2.0
22000,ChitimachaIndianReservation,LA,2.0
22000,CliftonChoctaw,LA,2.0
22000,CoushattaIndianReservation,LA,3.0
22000,JenaBandofChoctaw,LA,2.0
22000,Statewide,LA,8.0
22000,Tunica-BiloxiIndianReservation,LA,2.0
22000,UnitedHoumaNation,LA,2.0
22001,Acadia,LA,40.0
22003,Allen,LA,38.0
22005,Ascension,LA,63.0
22007,Assumption,LA,46.0
22009,Avoyelles,LA,39.0
22011,Beauregard,LA,40.0
22013,Bienville,LA,32.0
22015,Bossier,LA,34.0
22017,Caddo,LA,33.0
22019,Calcasieu,LA,40.0
22021,Caldwell,LA,35.0
22023,Cameron,LA,37.0
22025,Catahoula,LA,42.0
22027,Claiborne,LA,32.0
22029,Concordia,LA,35.0
22031,DeSoto,LA,30.0
22033,EastBatonRouge,LA,44.0
22035,EastCarroll,LA,29.0
22037,EastFeliciana,LA,37.0
22039,Evangeline,LA,33.0
22041,Franklin,LA,39.0
22043,Grant,LA,35.0
22045,Iberia,LA,41.0
22047,Iberville,LA,44.0
22049,Jackson,LA,24.0
22051,Jefferson,LA,46.0
22053,JeffersonDavis,LA,40.0
22055,Lafayette,LA,41.0
22057,Lafourche,LA,50.0
22059,LaSalle,LA,36.0
22061,Lincoln,LA,32.0
22063,Livingston,LA,49.0
22065,Madison,LA,30.0
22067,Morehouse,LA,32.0
22069,Natchitoches,LA,39.0
22071,Orleans,LA,35.0
22073,Ouachita,LA,41.0
22075,Plaquemines,LA,41.0
22077,PointeCoupee,LA,44.0
22079,Rapides,LA,46.0
22081,RedRiver,LA,29.0
22083,Richland,LA,33.0
22085,Sabine,LA,31.0
22087,St.Bernard,LA,44.0
22089,St.Charles,LA,48.0
22091,St.Helena,LA,36.0
22093,St.James,LA,41.0
22095,St.JohntheBaptist,LA,43.0
22097,St.Landry,LA,43.0
22099,St.Martin,LA,51.0
22101,St.Mary,LA,45.0
22103,St.Tammany,LA,46.0
22105,Tangipahoa,LA,45.0
22107,Tensas,LA,26.0
22109,Terrebonne,LA,49.0
22111,Union,LA,33.0
22113,Vermilion,LA,44.0
22115,Vernon,LA,34.0
22117,Washington,LA,38.0
22119,Webster,LA,34.0
22121,WestBatonRouge,LA,36.0
22123,WestCarroll,LA,28.0
22125,WestFeliciana,LA,41.0
22127,Winn,LA,29.0
