GEOID,county,FIP_disaster_count,state,totalValidRegistrations,ihpReferrals,ihpEligible,ihpAmount,average_project,approved_rate
22000,Statewide,8,LA,1.0,1.0,0.0,0.0,,0.0
22001,Acadia,40,LA,30738.0,26456.0,11076.0,32675244.08,2950.094265077645,0.36033574077688857
22003,Allen,38,LA,17511.0,14917.0,7279.0,19661087.14,2701.069809039703,0.41568157158357605
22005,Ascension,63,LA,69633.0,63502.0,32951.0,108635519.49,3296.8808075627444,0.47320954145304667
22007,Assumption,46,LA,15814.0,14708.0,7810.0,22905065.419999998,2932.786865556978,0.4938661945111926
22009,Avoyelles,39,LA,5578.0,4996.0,1556.0,4312458.8100000005,2771.5030912596403,0.27895302975977054
22011,Beauregard,40,LA,29785.0,25949.0,14407.0,40818456.019999996,2833.2377330464356,0.4836998489172402
22013,Bienville,32,LA,486.0,411.0,141.0,1133663.2,8040.164539007092,0.29012345679012347
22015,Bossier,34,LA,2172.0,1843.0,778.0,4170612.5,5360.684447300771,0.358195211786372
22017,Caddo,33,LA,11756.0,10208.0,3824.0,15048171.540000001,3935.1913023012553,0.32528070772371553
22019,Calcasieu,40,LA,276383.0,240252.0,145472.0,430453457.9,2959.0124415695113,0.5263420687958377
22021,Caldwell,35,LA,773.0,622.0,371.0,1205573.68,3249.5247439353097,0.4799482535575679
22023,Cameron,37,LA,13096.0,11529.0,7534.0,64560849.339999996,8569.26590655694,0.5752901649358583
22025,Catahoula,42,LA,1136.0,989.0,446.0,1998978.6199999999,4482.014843049327,0.3926056338028169
22027,Claiborne,32,LA,493.0,413.0,135.0,693044.0599999999,5133.659703703704,0.2738336713995943
22029,Concordia,35,LA,1557.0,1434.0,627.0,1841487.01,2936.9808771929825,0.4026974951830443
22031,DeSoto,30,LA,1008.0,915.0,371.0,1335336.75,3599.2904312668466,0.3680555555555556
22033,EastBatonRouge,44,LA,267091.0,233868.0,116209.0,504943565.78,4345.133042879639,0.4350914107925763
22035,EastCarroll,29,LA,1279.0,1216.0,528.0,1906744.61,3611.2587310606064,0.41282251759186867
22037,EastFeliciana,37,LA,10528.0,9531.0,4698.0,14383616.03,3061.646664538101,0.4462386018237082
22039,Evangeline,33,LA,9991.0,8561.0,2879.0,7581516.499999999,2633.3853768669674,0.2881593434090682
22041,Franklin,39,LA,1992.0,1778.0,958.0,5245770.82,5475.7524217119,0.48092369477911645
22043,Grant,35,LA,5001.0,4019.0,1631.0,6692872.84,4103.539448191294,0.3261347730453909
22045,Iberia,41,LA,43078.0,38209.0,16224.0,47223471.49,2910.716931089744,0.3766191559496727
22047,Iberville,44,LA,21742.0,20133.0,9482.0,24201550.69,2552.367716726429,0.4361144328948579
22049,Jackson,24,LA,1533.0,1061.0,343.0,801518.04,2336.7872886297378,0.2237442922374429
22051,Jefferson,46,LA,604875.0,541076.0,358418.0,1449344633.74,4043.7272506961144,0.5925488737342426
22053,JeffersonDavis,40,LA,29184.0,24977.0,12479.0,32060839.169999998,2569.183361647568,0.4275973135964912
22055,Lafayette,41,LA,39994.0,33796.0,13090.0,58753183.96,4488.402135981665,0.32729909486422964
22057,Lafourche,50,LA,82901.0,77006.0,44547.0,163462837.55,3669.4465968527625,0.5373517810400357
22059,LaSalle,36,LA,2114.0,1703.0,870.0,1532963.92,1762.0274942528736,0.41154210028382215
22061,Lincoln,32,LA,2849.0,1923.0,500.0,1510844.31,3021.68862,0.1755001755001755
22063,Livingston,49,LA,102680.0,92529.0,55509.0,285300006.38,5139.707189464772,0.5406018698870276
22065,Madison,30,LA,511.0,475.0,170.0,465143.27,2736.1368823529415,0.33268101761252444
22067,Morehouse,32,LA,4007.0,3537.0,1411.0,7009879.79,4968.022530120482,0.3521337659096581
22069,Natchitoches,39,LA,6465.0,4830.0,1721.0,6477305.94,3763.687356188263,0.26620262954369683
22071,Orleans,35,LA,648088.0,586012.0,411512.0,3131655729.87,7610.120069086685,0.6349631531520411
22073,Ouachita,41,LA,23017.0,19060.0,8617.0,40700614.19,4723.292815364976,0.3743754616153278
22075,Plaquemines,41,LA,41631.0,37993.0,24658.0,166770167.57999998,6763.329044529159,0.5922990079508059
