disasterNumber,state,county,city,zipcode,totalValidRegistrations,validCallCenterRegistrations,validWebRegistrations,validMobileRegistrations,ihpReferrals,ihpEligible,ihpAmount,haReferrals,haEligible,haAmount,onaReferrals,onaEligible,onaAmount,id,county_type
1465,OK,Canadian,OKLAHOMA CITY,73127,11.0,0,0,0,11.0,5.0,18203.47,11,5,15692.670000000002,4,2,2510.8,623ecc41cbab24a500f0537e,County)
1465,OK,Carter,WILSON,73463,8.0,0,0,0,5.0,3.0,9506.83,5,2,2102,2,2,7404.83,623ecc41cbab24a500f05386,County)
1465,OK,Cherokee,PARK HILL,74451,5.0,0,0,0,4.0,3.0,6933.66,4,3,5290.4800000000005,2,1,1643.18,623ecc41cbab24a500f05389,County)
1465,OK,Cleveland,MOORE,73170,3.0,0,0,0,2.0,1.0,533.67,2,1,533.67,1,0,0,623ecc41cbab24a500f0538f,County)
1465,OK,Cleveland,NOBLE,73068,2.0,0,0,0,2.0,0.0,0.0,2,0,0,1,0,0,623ecc41cbab24a500f05391,County)
1465,OK,Cleveland,NORMAN,73072,5.0,0,0,0,1.0,1.0,5000.0,0,0,0,1,1,5000,623ecc41cbab24a500f05397,County)
1465,OK,Cleveland,OKLAHOMA CITY,73139,12.0,0,0,0,1.0,0.0,0.0,0,0,0,1,0,0,623ecc41cbab24a500f05399,County)
1465,OK,Creek,KELLYVILLE,74039,2.0,0,0,0,1.0,0.0,0.0,1,0,0,0,0,0,623ecc41cbab24a500f053a2,County)
1465,OK,Delaware,KANSAS,74347,11.0,0,0,0,6.0,5.0,31258.75,5,4,10426.41,5,5,20832.34,623ecc41cbab24a500f053a9,County)
1465,OK,Garvin,FOSTER,73434,1.0,0,0,0,1.0,0.0,0.0,1,0,0,0,0,0,623ecc41cbab24a500f053ab,County)
1465,OK,Grady,CEMENT,73017,1.0,0,0,0,1.0,1.0,1933.74,1,1,1724.66,1,1,209.08,623ecc41cbab24a500f053b1,County)
1465,OK,Grady,CHICKASHA,73018,17.0,0,0,0,15.0,3.0,2767.9,15,1,43.44,7,2,2724.46,623ecc41cbab24a500f053b2,County)
1465,OK,Canadian,UNION CITY,73090,1.0,0,0,0,1.0,0.0,0.0,1,0,0,0,0,0,623ecc41cbab24a500f0537f,County)
1465,OK,Canadian,YUKON,73099,36.0,0,0,0,24.0,6.0,8937.16,21,2,1895.82,5,4,7041.34,623ecc41cbab24a500f05380,County)
1465,OK,Carter,ARDMORE,73401,24.0,0,0,0,23.0,10.0,7253.85,22,8,5753.85,5,3,1500,623ecc41cbab24a500f05381,County)
1465,OK,Carter,HEALDTON,73438,13.0,0,0,0,11.0,7.0,4071.4,8,3,1772.47,8,4,2298.93,623ecc41cbab24a500f05383,County)
1465,OK,Kay,PONCA CITY,74604,1.0,0,0,0,1.0,0.0,0.0,1,0,0,0,0,0,623ecc41cbab24a500f053ba,County)
1465,OK,Kay,TONKAWA,74653,1.0,0,0,0,1.0,0.0,0.0,1,0,0,1,0,0,623ecc41cbab24a500f053bb,County)
1465,OK,Lincoln,CHANDLER,74834,1.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,623ecc41cbab24a500f053bf,County)
1465,OK,Lincoln,LUTHER,73054,1.0,0,0,0,1.0,0.0,0.0,1,0,0,1,0,0,623ecc41cbab24a500f053c1,County)
1465,OK,Lincoln,WELLSTON,74881,2.0,0,0,0,2.0,1.0,770.67,1,0,0,1,1,770.67,623ecc41cbab24a500f053c5,County)
1465,OK,Logan,GUTHRIE,73044,3.0,0,0,0,1.0,0.0,0.0,1,0,0,0,0,0,623ecc41cbab24a500f053c7,County)
1465,OK,McClain,NEWCASTLE,73065,2.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,623ecc41cbab24a500f053cd,County)
1465,OK,McClain,PURCELL,73080,3.0,0,0,0,1.0,0.0,0.0,1,0,0,1,0,0,623ecc41cbab24a500f053ce,County)
1465,OK,Muskogee,BRAGGS,74423,1.0,0,0,0,1.0,0.0,0.0,1,0,0,0,0,0,623ecc41cbab24a500f053d0,County)
1465,OK,Muskogee,COUNCIL HILL,74428,5.0,0,0,0,3.0,0.0,0.0,3,0,0,2,0,0,623ecc41cbab24a500f053d1,County)
1465,OK,Muskogee,FORT GIBSON,74434,2.0,0,0,0,1.0,0.0,0.0,1,0,0,1,0,0,623ecc41cbab24a500f053d2,County)
1465,OK,Muskogee,HASKELL,74436,2.0,0,0,0,2.0,1.0,1060.64,2,1,1060.64,0,0,0,623ecc41cbab24a500f053d3,County)
1465,OK,Muskogee,PORUM,74455,6.0,0,0,0,5.0,3.0,7296.44,5,3,7296.44,2,0,0,623ecc41cbab24a500f053d8,County)
1465,OK,Muskogee,WEBBERS FALLS,74470,2.0,0,0,0,1.0,1.0,1052.41,1,1,1052.41,0,0,0,623ecc41cbab24a500f053dc,County)
1465,OK,Nowata,NOWATA,74048,13.0,0,0,0,12.0,3.0,16240.98,12,3,8527.31,2,1,7713.67,623ecc41cbab24a500f053dd,County)
1465,OK,Nowata,WANN,74083,3.0,0,0,0,3.0,1.0,10090.24,3,1,915,1,1,9175.24,623ecc41cbab24a500f053de,County)
1465,OK,Oklahoma,BETHANY,73008,302.0,0,0,0,250.0,84.0,139007.65,234,61,86278.61,106,45,52729.04,623ecc41cbab24a500f053e6,County)
1465,OK,Oklahoma,MIDWEST CITY,73110,14.0,0,0,0,5.0,2.0,700.86,4,1,200.86,1,1,500,623ecc41cbab24a500f053f1,County)
1465,OK,Oklahoma,MOORE,73119,1.0,0,0,0,1.0,1.0,1118.0,1,1,1118,1,0,0,623ecc41cbab24a500f053f4,County)
1465,OK,Oklahoma,OKLAHOMA CITY,73102,2.0,0,0,0,1.0,0.0,0.0,1,0,0,0,0,0,623ecc41cbab24a500f053f9,County)
