zipcode,state,totalValidRegistrations,ihpReferrals,ihpEligible,ihpAmount,FIP_disaster_count,average_project,approved_rate
47930,OK,1.0,1.0,1.0,518.24,32,518.24,1.0
71404,OK,1.0,1.0,1.0,9000.0,38,9000.0,1.0
71433,OK,1.0,1.0,1.0,9000.0,38,9000.0,1.0
71437,OK,1.0,1.0,1.0,9000.0,38,9000.0,1.0
73001,OK,3.0,3.0,2.0,5871.9,43,2935.95,0.6666666666666666
73002,OK,12.0,11.0,6.0,15207.029999999999,36,2534.5049999999997,0.5
73003,OK,67.0,54.0,21.0,55871.6,90,2660.552380952381,0.31343283582089554
73004,OK,17.0,16.0,8.0,73254.42000000001,36,9156.802500000002,0.47058823529411764
73005,OK,184.0,155.0,81.0,275202.94,43,3397.567160493827,0.44021739130434784
73006,OK,53.0,43.0,24.0,99064.1,78,4127.670833333334,0.4528301886792453
73007,OK,12.0,6.0,1.0,5008.56,115,5008.56,0.08333333333333333
73008,OK,439.0,365.0,119.0,229698.59999999998,47,1930.2403361344536,0.27107061503416857
73009,OK,52.0,41.0,21.0,116072.57,43,5527.265238095239,0.40384615384615385
73010,OK,671.0,600.0,215.0,1584859.1800000002,164,7371.438046511628,0.3204172876304024
73011,OK,4.0,3.0,2.0,3167.36,36,1583.68,0.5
73012,OK,87.0,68.0,11.0,45025.75,79,4093.25,0.12643678160919541
73013,OK,199.0,161.0,42.0,111564.73,47,2656.303095238095,0.21105527638190955
73014,OK,49.0,45.0,13.0,84925.34,39,6532.718461538461,0.2653061224489796
73015,OK,93.0,83.0,45.0,167874.41,78,3730.5424444444443,0.4838709677419355
73016,OK,83.0,78.0,37.0,547272.38,78,14791.145405405405,0.4457831325301205
73017,OK,17.0,14.0,7.0,14201.29,114,2028.7557142857145,0.4117647058823529
73018,OK,342.0,299.0,165.0,761514.53,36,4615.239575757576,0.4824561403508772
73019,OK,2.0,1.0,1.0,9000.0,87,9000.0,0.5
73020,OK,608.0,518.0,158.0,690084.6000000001,188,4367.624050632912,0.2598684210526316
73023,OK,1.0,1.0,1.0,5460.97,36,5460.97,1.0
73024,OK,4.0,4.0,3.0,26367.59,35,8789.196666666667,0.75
73025,OK,42.0,32.0,6.0,6852.55,125,1142.0916666666667,0.14285714285714285
