pop_total,pop_white,pop_black,pop_latino,median_income,state,zip code tabulation area,zipcode
17113,12616,182,17052,,72,00601,00601
37751,32179,908,34908,,72,00602,00602
47081,37359,1514,45842,,72,00603,00603
6392,2910,92,6338,,72,00606,00606
26686,22042,461,25368,,72,00610,00610
59369,46218,2870,58847,,72,00612,00612
10022,8144,709,9967,,72,00616,00616
23750,19359,860,23630,,72,00617,00617
6741,1535,19,6722,,72,00622,00622
41746,9485,766,41579,,72,00623,00623
21936,15647,835,21834,,72,00624,00624
31598,27201,561,31249,,72,00627,00627
1499,1038,0,1499,,72,00631,00631
22383,15698,474,22310,,72,00637,00637
16412,15315,250,16246,,72,00638,00638
26712,14076,296,26513,,72,00641,00641
37095,28850,4700,36286,,72,00646,00646
5809,3325,288,5800,,72,00647,00647
14534,11868,190,14382,,72,00650,00650
3565,3113,57,3526,,72,00652,00652
10484,6000,559,10327,,72,00653,00653
18485,14502,399,18374,,72,00656,00656
39950,38979,323,39803,,72,00659,00659
15943,4095,379,15916,,72,00660,00660
39700,26060,2107,39173,,72,00662,00662
14693,8421,357,14645,,72,00664,00664
23186,5852,178,22889,,72,00667,00667
24803,17586,188,24610,,72,00669,00669
8364,3996,73,8335,,72,00670,00670
38971,32375,1691,38144,,72,00674,00674
36299,29925,1159,36034,,72,00676,00676
14093,12112,53,12443,,72,00677,00677
25624,21740,1006,25192,,72,00678,00678
45190,12323,1521,44921,,72,00680,00680
31735,8761,1140,31382,,72,00682,00682
29487,17252,486,29328,,72,00683,00683
37058,24207,1332,35835,,72,00685,00685
30962,27244,628,30833,,72,00687,00687
12139,9150,253,12072,,72,00688,00688
5722,4778,67,5685,,72,00690,00690
35135,25112,3557,34550,,72,00692,00692
53360,44193,2924,51659,,72,00693,00693
64,64,0,64,,72,00694,00694
35317,26602,1346,35092,,72,00698,00698
26097,14322,2430,25976,,72,00703,00703
8108,4692,2667,8074,,72,00704,00704
22662,16924,3444,22578,,72,00705,00705
10721,1351,9251,10596,,72,00707,00707
17739,11406,3488,17712,,72,00714,00714
2818,1553,468,2818,,72,00715,00715
27513,22102,1835,27192,,72,00716,00716
16086,12104,1070,15932,,72,00717,00717
25430,17758,954,25230,,72,00718,00718
28556,24324,2107,28549,,72,00719,00719
20758,16835,752,20680,,72,00720,00720
16984,2346,14362,16951,,72,00723,00723
80537,58662,7565,79165,,72,00725,00725
52743,42343,3780,52297,,72,00727,00727
39083,30693,2150,38943,,72,00728,00728
51015,24990,6016,50851,,72,00729,00729
30175,23900,1441,29881,,72,00730,00730
12657,9805,458,12604,,72,00731,00731
12159,7382,1008,11974,,72,00735,00735
46085,29252,3158,45746,,72,00736,00736
29196,16570,2970,28897,,72,00738,00738
36734,26752,3334,36548,,72,00739,00739
1915,891,385,1915,,72,00740,00740
4074,1448,1895,4050,,72,00741,00741
50435,26211,6649,50004,,72,00745,00745
20677,11704,8205,20640,,72,00751,00751
36893,23249,11538,36809,,72,00754,00754
21757,12622,8122,21660,,72,00757,00757
8523,4640,635,8085,,72,00765,00765
